# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Nov 22 06:52:23 2019
#
# User preference: *
#
# COLUMN pl_hostname:    Host Name
# COLUMN pl_letter:      Planet Letter
# COLUMN pl_pnum:        Number of Planets in System
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [AU])
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [AU]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [AU]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_orbinclerr1: Inclination Upper Unc. [deg]
# COLUMN pl_orbinclerr2: Inclination Lower Unc. [deg]
# COLUMN pl_orbincllim:  Inclination Limit Flag
# COLUMN pl_bmassj:      Planet Mass or M*sin(i) [Jupiter mass]
# COLUMN pl_bmassjerr1:  Planet Mass or M*sin(i) Upper Unc. [Jupiter mass]
# COLUMN pl_bmassjerr2:  Planet Mass or M*sin(i) Lower Unc. [Jupiter mass]
# COLUMN pl_bmassjlim:   Planet Mass or M*sin(i) Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or M*sin(i) Provenance
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
#
loc_rowid,pl_hostname,pl_letter,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,st_mass,st_masserr1,st_masserr2,st_masslim
13,2MASS J04414489+2301513,b,1,,,,,15.000000,,,0,,,,,,,,,7.50000,2.50000,-2.50000,0,Mass,0.02,,,0
14,2MASS J12073346-3932539,b,1,,,,,46.000000,5.000000,-5.000000,0,,,,,,,,,4.00000,1.00000,-1.00000,0,Mass,0.02,,,0
15,2MASS J19383260+4603591,b,1,416.00000000,2.00000000,-2.00000000,0,0.920000,0.020000,-0.020000,0,,,,,,,,,1.90000,0.10000,-0.10000,0,Mass,0.48,0.03,-0.03,0
16,2MASS J21402931+1625183 A,b,1,7336.50000000,1934.50000000,-584.00000000,0,,,,,0.260000,0.060000,-0.060000,0,46.200,2.500,-8.700,0,20.95000,83.79000,-20.95000,0,Mass,0.08,0.06,-0.06,0
17,2MASS J22362452+4751425,b,1,,,,,230.000000,20.000000,-20.000000,0,,,,,,,,,12.50000,1.50000,-1.50000,0,Mass,0.60,0.05,-0.05,0
18,30 Ari B,b,1,335.10001000,2.50000000,-2.50000000,0,0.990000,0.020000,-0.020000,0,0.290000,0.090000,-0.090000,0,,,,0,13.82000,1.80000,-1.80000,0,Msini,1.93,0.27,-0.27,0
19,4 UMa,b,1,269.30000000,1.96000000,-1.96000000,0,0.870000,0.040000,-0.040000,0,0.432000,0.024000,-0.024000,0,,,,,7.10000,1.60000,-1.60000,0,Msini,1.23,0.15,-0.15,0
20,42 Dra,b,1,479.10000000,6.20000000,-6.20000000,0,1.190000,0.010000,-0.010000,0,0.380000,0.060000,-0.060000,0,,,,,3.88000,0.85000,-0.85000,0,Msini,0.98,0.05,-0.05,0
21,47 UMa,b,3,1078.00000000,2.00000000,-2.00000000,0,2.100000,0.020000,-0.020000,0,0.032000,0.014000,-0.014000,0,,,,,2.53000,0.07000,-0.06000,0,Msini,1.03,0.05,-0.05,0
22,47 UMa,c,3,2391.00000000,100.00000000,-87.00000000,0,3.600000,0.100000,-0.100000,0,0.098000,0.047000,-0.096000,0,,,,,0.54000,0.06600,-0.07300,0,Msini,1.03,0.05,-0.05,0
23,47 UMa,d,3,14002.00000000,4018.00000000,-5095.00000000,0,11.600000,2.100000,-2.900000,0,0.160000,0.090000,-0.160000,0,,,,,1.64000,0.29000,-0.48000,0,Msini,1.03,0.05,-0.05,0
24,51 Eri,b,1,11688.00000000,6209.25000000,-3287.25000000,0,12.000000,4.000000,-2.000000,0,0.450000,0.100000,-0.150000,0,133.000,14.000,-7.000,0,,,,0,,1.75,0.05,-0.05,0
25,51 Peg,b,1,4.23078500,0.00003600,-0.00003600,0,0.052700,0.003000,-0.003000,0,0.013000,0.012000,-0.012000,0,,,,,0.47200,0.03900,-0.03900,0,Msini,1.12,0.06,-0.06,0
26,55 Cnc,b,5,14.65152000,0.00015000,-0.00015000,0,0.115227,0.000001,-0.000001,0,0.003400,0.003200,-0.003200,0,90.000,,,0,0.83060,0.00330,-0.00330,0,Mass,0.91,0.01,-0.01,0
27,55 Cnc,c,5,44.41750000,0.00730000,-0.00730000,0,0.241376,0.000026,-0.000026,0,0.020000,0.031000,-0.031000,0,90.000,,,0,0.17140,0.00550,-0.00550,0,Mass,0.91,0.01,-0.01,0
28,55 Cnc,d,5,4825.00000000,39.00000000,-39.00000000,0,5.503000,0.030000,-0.030000,0,0.019000,0.013000,-0.013000,0,90.000,,,0,3.87800,0.06800,-0.06800,0,Mass,0.91,0.01,-0.01,0
29,55 Cnc,e,5,0.73653900,0.00000700,-0.00000700,0,0.015440,0.000090,-0.000090,0,,,,0,83.300,0.900,-0.800,0,0.02542,0.00098,-0.00098,0,Mass,0.91,0.01,-0.01,0
30,55 Cnc,f,5,262.00000000,0.51000000,-0.51000000,0,0.788000,0.001000,-0.001000,0,0.305000,0.075000,-0.075000,0,90.000,,,0,0.14100,0.01200,-0.01200,0,Mass,0.91,0.01,-0.01,0
31,6 Lyn,b,1,934.30000000,8.60000000,-8.60000000,0,2.110000,0.110000,-0.110000,0,0.073000,0.036000,-0.036000,0,,,,0,2.01000,0.07700,-0.07700,0,Msini,1.44,,,0
32,61 Vir,b,3,4.21500000,0.00060000,-0.00060000,0,0.050201,0.000005,-0.000005,0,0.120000,0.110000,-0.110000,0,,,,,0.01600,0.00200,-0.00200,0,Msini,0.94,0.03,-0.03,0
33,61 Vir,c,3,38.02100000,0.03400000,-0.03400000,0,0.217500,0.000100,-0.000100,0,0.140000,0.060000,-0.060000,0,,,,,0.05700,0.00300,-0.00300,0,Msini,0.94,0.03,-0.03,0
34,61 Vir,d,3,123.01000000,0.55000000,-0.55000000,0,0.476000,0.001000,-0.001000,0,0.350000,0.090000,-0.090000,0,,,,,0.07200,0.00800,-0.00800,0,Msini,0.94,0.03,-0.03,0
35,7 CMa,b,2,735.10000000,14.80000000,-1.00000000,0,1.758000,0.024000,-0.001000,0,0.060000,0.030000,-0.030000,0,90.000,,,0,1.85000,0.06000,-0.06000,0,Msin(i)/sin(i),1.34,0.11,-0.12,0
36,7 CMa,c,2,996.00000000,1.50000000,-52.40000000,0,2.153000,0.003000,-0.080000,0,0.080000,0.050000,-0.040000,0,90.000,,,0,0.87000,0.06000,-0.06000,0,Msin(i)/sin(i),1.34,0.11,-0.12,0
37,70 Vir,b,1,116.68800000,0.00540000,-0.00540000,0,0.481000,0.022000,-0.022000,0,0.398800,0.001900,-0.001900,0,,,,0,7.41600,0.05700,-0.05700,0,Msini,1.09,,,0
38,75 Cet,b,1,691.90000000,3.60000000,-3.60000000,0,2.100000,,,0,0.117000,0.048000,-0.048000,0,,,,,3.00000,,,0,Msini,2.49,0.02,-0.27,0
39,8 UMi,b,1,93.40000000,4.50000000,-4.50000000,0,0.490000,0.020000,-0.020000,0,0.060000,0.090000,-0.090000,0,,,,0,1.31000,0.16000,-0.16000,0,Msini,1.44,0.19,-0.19,0
40,81 Cet,b,1,952.70000000,8.80000000,-8.80000000,0,2.500000,,,0,0.206000,0.029000,-0.029000,0,,,,,5.30000,,,0,Msini,2.40,0.10,-0.40,0
41,91 Aqr,b,1,181.40000000,0.10000000,-0.10000000,0,0.700000,,,0,0.027000,0.026000,-0.026000,0,,,,,3.20000,,,0,Msini,1.40,0.10,-0.10,0
42,AB Pic,b,1,,,,,260.000000,,,0,,,,,,,,,13.50000,0.50000,-0.50000,0,Mass,,,,
43,BD+03 2562,b,1,481.90000000,2.70000000,-2.80000000,0,1.300000,0.100000,-0.100000,0,0.200000,0.120000,-0.080000,0,,,,,6.40000,1.30000,-1.30000,0,Msini,1.14,0.25,-0.25,0
44,BD+14 4559,b,1,268.94000000,0.99000000,-0.99000000,0,0.780000,0.050000,-0.050000,0,0.290000,0.030000,-0.030000,0,,,,0,1.04000,0.47000,-0.47000,0,Msini,0.49,0.33,-0.33,0
45,BD+15 2375,b,1,153.22000000,0.44000000,-0.44000000,0,0.576000,0.027000,-0.027000,0,0.001000,0.250000,-0.001000,0,,,,,1.06100,0.27000,-0.27000,0,Msini,1.08,0.14,-0.14,0
46,BD+15 2940,b,1,137.48000000,0.34000000,-0.34000000,0,0.539000,,,0,0.260000,0.100000,-0.100000,0,,,,,1.11000,,,0,Msini,1.10,0.20,-0.20,0
47,BD+20 2457,b,2,379.63000000,2.00000000,-2.00000000,0,1.050000,0.070000,-0.070000,0,0.150000,0.030000,-0.030000,0,,,,0,55.59000,78.55000,-78.55000,0,Msini,10.83,22.96,-22.96,0
48,BD+20 2457,c,2,621.99000000,10.20000000,-10.20000000,0,2.010000,,,0,0.180000,0.060000,-0.060000,0,,,,,12.47000,,,0,Msini,10.83,22.96,-22.96,0
49,BD+20 274,b,1,578.20000000,5.40000000,-5.40000000,0,1.300000,,,0,0.210000,0.060000,-0.060000,0,,,,,4.20000,,,0,Msini,0.80,0.20,-0.20,0
50,BD+20 594,b,1,41.68550000,0.00300000,-0.00300000,0,,,,0,0.000000,,,0,89.550,0.160,-0.160,0,0.07000,0.03000,-0.03000,0,Mass,1.67,0.40,-0.40,0
51,BD+48 738,b,1,392.60000000,5.50000000,-5.50000000,0,1.000000,,,0,0.200000,0.100000,-0.100000,0,,,,,0.91000,,,0,Msini,0.74,0.39,-0.39,0
52,BD+48 740,b,1,733.00000000,5.00000000,-8.00000000,0,1.700000,0.100000,-0.100000,0,0.760000,0.050000,-0.090000,0,,,,0,1.70000,0.70000,-0.70000,0,Msini,1.09,0.16,-0.16,0
53,BD+49 828,b,1,2590.00000000,300.00000000,-180.00000000,0,4.200000,0.320000,-0.200000,0,0.350000,0.240000,-0.100000,0,,,,,1.60000,0.40000,-0.20000,0,Msini,1.52,0.22,-0.22,0
54,BD-06 1339,b,2,3.87280000,0.00040000,-0.00040000,0,0.042800,0.000700,-0.000700,0,0.000000,,,0,,,,,0.02700,0.00400,-0.00400,0,Msini,0.70,,,0
55,BD-06 1339,c,2,125.94000000,0.44000000,-0.44000000,0,0.435000,0.007000,-0.007000,0,0.310000,0.110000,-0.110000,0,,,,,0.17000,0.03000,-0.03000,0,Msini,0.70,,,0
56,BD-08 2823,b,2,5.60000000,0.02000000,-0.02000000,0,0.060000,0.000000,0.000000,0,0.150000,0.150000,-0.150000,0,,,,0,0.04000,0.01000,-0.01000,0,Msini,0.50,0.26,-0.26,0
57,BD-08 2823,c,2,237.60000000,1.50000000,-1.50000000,0,0.680000,0.020000,-0.020000,0,0.190000,0.090000,-0.090000,0,,,,,0.33000,0.03000,-0.03000,0,Msini,0.50,0.26,-0.26,0
58,BD-10 3166,b,1,3.48777000,0.00011000,-0.00011000,0,0.040000,0.000000,0.000000,0,0.020000,0.020000,-0.020000,0,,,,0,0.59000,0.07000,-0.07000,0,Msini,1.47,0.24,-0.24,0
59,BD-11 4672,b,1,1667.00000000,33.00000000,-31.00000000,0,2.280000,0.070000,-0.070000,0,0.050000,0.060000,-0.040000,0,,,,,0.53000,0.05000,-0.05000,0,Msini,0.57,0.01,-0.01,0
60,BD-13 2130,b,1,714.29999000,5.30000000,-5.30000000,0,1.660000,0.120000,-0.120000,0,0.210000,0.070000,-0.070000,0,,,,0,9.78000,4.56000,-4.56000,0,Msini,2.12,1.47,-1.47,0
61,BD-17 63,b,1,655.60000000,0.60000000,-0.60000000,0,1.340000,0.020000,-0.020000,0,0.540000,0.005000,-0.005000,0,,,,,5.10000,0.12000,-0.12000,0,Msini,0.74,0.03,-0.03,0
62,CFBDSIR J145829+101343,b,1,10037.50000000,2737.50000000,-2737.50000000,0,2.600000,0.300000,-0.300000,0,,,,,,,,,10.50000,4.50000,-4.50000,0,Mass,0.02,0.01,-0.01,0
63,CHXR 73,b,1,,,,,210.000000,,,0,,,,,,,,,12.56900,8.37900,-5.23700,0,Mass,0.35,,,0
64,CI Tau,b,1,8.98910000,0.02020000,-0.02020000,0,,,,0,0.250000,0.160000,-0.160000,0,50.500,6.300,-8.500,0,11.60000,2.90000,-2.70000,0,Mass,0.90,0.02,-0.02,0
65,CT Cha,b,1,,,,,440.000000,,,0,,,,,,,,,17.00000,6.00000,-6.00000,0,Mass,,,,
66,CoRoT-1,b,1,1.50895570,0.00000640,-0.00000640,0,,,,,0.000000,,,0,85.100,0.500,-0.500,0,1.03000,0.12000,-0.12000,0,Mass,0.95,0.15,-0.15,0
67,CoRoT-10,b,1,13.24060000,0.00020000,-0.00020000,0,0.105500,0.002100,-0.002100,0,0.530000,0.040000,-0.040000,0,88.550,0.200,-0.200,0,2.75000,0.16000,-0.16000,0,Mass,0.89,0.05,-0.05,0
68,CoRoT-11,b,1,2.99433000,0.00001100,-0.00001100,0,0.043600,0.005000,-0.005000,0,0.000000,,,0,83.170,0.150,-0.150,0,2.33000,0.34000,-0.34000,0,Mass,1.27,0.05,-0.05,0
69,CoRoT-12,b,1,2.82804200,0.00001300,-0.00001300,0,0.040160,0.000930,-0.000920,0,0.070000,0.063000,-0.042000,0,85.480,0.720,-0.770,0,0.91700,0.07000,-0.06500,0,Mass,1.08,0.08,-0.07,0
70,CoRoT-13,b,1,4.03519000,0.00003000,-0.00003000,0,0.051000,0.003100,-0.003100,0,0.000000,,,0,88.020,0.340,-0.360,0,1.30800,0.06600,-0.06600,0,Mass,1.09,0.02,-0.02,0
71,CoRoT-14,b,1,1.51214000,0.00013000,-0.00013000,0,0.027000,0.002000,-0.002000,0,0.000000,,,0,79.600,0.800,-0.800,0,7.60000,0.60000,-0.60000,0,Mass,1.13,0.09,-0.09,0
72,CoRoT-16,b,1,5.35227000,0.00020000,-0.00020000,0,0.061800,0.001500,-0.001500,0,0.330000,0.090000,-0.100000,0,85.010,0.940,-1.200,0,0.53500,0.08500,-0.08300,0,Mass,1.10,0.08,-0.08,0
73,CoRoT-17,b,1,3.76810000,0.00030000,-0.00030000,0,0.046100,0.000800,-0.000800,0,0.000000,,,0,88.340,1.540,-1.540,0,2.43000,0.30000,-0.30000,0,Mass,1.04,0.10,-0.10,0
74,CoRoT-18,b,1,1.90006930,0.00000280,-0.00000280,0,0.029500,0.001600,-0.001600,0,0.080000,,,1,86.500,1.400,-0.900,0,3.47000,0.38000,-0.38000,0,Mass,0.95,0.15,-0.15,0
75,CoRoT-19,b,1,3.89713000,0.00002000,-0.00002000,0,0.051800,0.000800,-0.000800,0,0.047000,0.045000,-0.045000,0,88.000,0.700,-0.700,0,1.11000,0.06000,-0.06000,0,Mass,1.21,0.05,-0.05,0
76,CoRoT-2,b,1,1.74299350,0.00000100,-0.00000100,0,0.027980,0.000760,-0.000800,0,0.014300,0.007700,-0.007600,0,88.080,0.180,-0.160,0,3.47000,0.22000,-0.22000,0,Mass,0.96,0.08,-0.08,0
77,CoRoT-20,b,2,9.24285000,0.00030000,-0.00030000,0,0.090000,0.002000,-0.002000,0,0.590000,0.020000,-0.020000,0,88.210,0.530,-0.530,0,4.30000,0.20000,-0.20000,0,Mass,1.14,0.08,-0.08,0
78,CoRoT-20,c,2,1675.00000000,19.00000000,-17.00000000,0,2.900000,0.070000,-0.070000,0,0.600000,0.030000,-0.030000,0,,,,0,17.00000,1.00000,-1.00000,0,Msini,1.14,0.08,-0.08,0
79,CoRoT-21,b,1,2.72474000,0.00014000,-0.00014000,0,0.041700,0.001100,-0.001100,0,0.000000,,,0,86.800,2.100,-2.100,0,2.26000,0.31000,-0.31000,0,Mass,1.29,0.09,-0.09,0
80,CoRoT-22,b,1,9.75598000,0.00011000,-0.00011000,0,0.092000,0.001400,-0.001400,0,0.077000,0.300000,-0.042000,0,89.749,0.032,-0.900,0,0.03800,0.04400,-0.02800,0,Mass,1.10,0.05,-0.05,0
81,CoRoT-23,b,1,3.63130000,0.00010000,-0.00010000,0,0.048000,0.004000,-0.004000,0,0.160000,0.020000,-0.020000,0,85.700,2.600,-1.500,0,2.80000,0.30000,-0.30000,0,Mass,1.14,0.08,-0.08,0
82,CoRoT-24,b,2,5.11340000,0.00060000,-0.00060000,0,0.056000,0.002000,-0.002000,0,0.000000,,,0,86.500,2.000,-2.000,0,0.01800,,,1,Mass,0.91,0.09,-0.09,0
83,CoRoT-24,c,2,11.75900000,0.00630000,-0.00630000,0,0.098000,0.003000,-0.003000,0,0.000000,,,0,89.000,1.000,-1.600,0,0.08800,0.03500,-0.03500,0,Mass,0.91,0.09,-0.09,0
84,CoRoT-25,b,1,4.86069000,0.00006000,-0.00006000,0,0.057800,0.002000,-0.000900,0,0.000000,,,0,84.500,0.800,-0.300,0,0.27000,0.04000,-0.04000,0,Mass,1.09,0.11,-0.05,0
85,CoRoT-26,b,1,4.20474000,0.00005000,-0.00005000,0,0.052600,0.001000,-0.001000,0,0.000000,,,0,86.800,2.200,-1.000,0,0.52000,0.05000,-0.05000,0,Mass,1.09,0.06,-0.06,0
86,CoRoT-27,b,1,3.57532000,0.00006000,-0.00006000,0,0.047600,0.006600,-0.006600,0,0.065000,,,1,86.700,1.200,-0.870,0,10.39000,0.55000,-0.55000,0,Mass,1.05,0.11,-0.11,0
87,CoRoT-28,b,1,5.20851000,0.00038000,-0.00038000,0,0.060300,0.005000,-0.005000,0,0.047000,0.055000,-0.038000,0,88.100,0.800,-0.800,0,0.48400,0.08700,-0.08700,0,Mass,1.01,0.14,-0.14,0
88,CoRoT-29,b,1,2.85057000,0.00000600,-0.00000600,0,0.038600,0.005900,-0.005900,0,0.082000,0.081000,-0.081000,0,87.300,2.700,-2.700,0,0.85000,0.20000,-0.20000,0,Mass,0.97,0.14,-0.14,0
89,CoRoT-3,b,1,4.25680000,0.00000500,-0.00000500,0,,,,,0.000000,,,0,85.900,0.800,-0.800,0,21.66000,1.00000,-1.00000,0,Mass,1.37,0.09,-0.09,0
90,CoRoT-4,b,1,9.20205000,0.00037000,-0.00037000,0,0.090000,0.001000,-0.001000,0,0.000000,0.100000,-0.100000,0,90.000,0.000,-0.085,0,0.72000,0.08000,-0.08000,0,Mass,1.16,0.03,-0.02,0
91,CoRoT-5,b,1,4.03789620,0.00000190,-0.00000190,0,0.049470,0.000260,-0.000290,0,0.090000,0.090000,-0.040000,0,85.830,0.990,-1.380,0,0.46700,0.04700,-0.02400,0,Mass,1.00,0.02,-0.02,0
92,CoRoT-6,b,1,8.88659300,0.00000400,-0.00000400,0,0.085500,0.001500,-0.001500,0,0.100000,,,1,89.070,0.300,-0.300,0,2.96000,0.34000,-0.34000,0,Mass,1.05,0.05,-0.05,0
93,CoRoT-7,b,2,0.85359163,0.00000001,-0.00000001,0,,,,0,0.000000,,,0,80.100,0.300,-0.300,0,0.01000,0.00000,0.00000,0,Mass,0.82,0.17,-0.17,0
94,CoRoT-7,c,2,3.69800000,0.00300000,-0.00300000,0,0.046000,,,0,0.000000,,,0,80.000,,,0,0.02643,0.00283,-0.00283,0,Mass,0.82,0.17,-0.17,0
95,CoRoT-8,b,1,6.21229000,0.00003000,-0.00003000,0,0.063000,0.001000,-0.001000,0,0.000000,,,0,88.400,0.100,-0.100,0,0.22000,0.03000,-0.03000,0,Mass,0.88,0.04,-0.04,0
96,CoRoT-9,b,1,95.27265600,0.00006800,-0.00006800,0,0.402100,0.005400,-0.005400,0,0.133000,0.042000,-0.037000,0,89.900,0.066,-0.084,0,0.84000,0.05000,-0.05000,0,Mass,0.96,0.04,-0.04,0
97,CoRoTID 223977153,b,1,6.71837000,0.00001000,-0.00001000,0,0.071000,0.001000,-0.001000,0,,,,0,89.000,0.500,-0.500,0,0.15000,0.10000,-0.10000,0,Mass,1.08,0.08,-0.07,0
98,DE CVn,b,1,4098.10000000,131.50000000,-131.50000000,0,5.750000,2.020000,-2.020000,0,0.000000,,,0,86.000,,,0,12.02930,3.00733,-3.00733,0,Msin(i)/sin(i),0.51,,,0
99,DENIS-P J082303.1-491201,b,1,246.36000000,1.38000000,-1.35000000,0,0.360000,0.010000,-0.010000,0,0.345000,0.068000,-0.064000,0,56.600,1.900,-2.100,0,28.50000,1.90000,-1.90000,0,Mass,0.07,0.01,-0.01,0
100,DH Tau,b,1,,,,,330.000000,,,0,,,,,,,,,11.00000,10.00000,-3.00000,0,Mass,0.33,,,0
101,DP Leo,b,1,10220.00000000,730.00000000,-730.00000000,0,8.190000,0.390000,-0.390000,0,0.390000,0.130000,-0.130000,0,,,,,6.05000,0.47000,-0.58000,0,Msini,,,,0
102,DS Tuc A,b,1,8.13826800,0.00001100,-0.00001100,0,,,,0,0.000000,,,0,89.500,0.340,-0.410,0,,,,0,,1.01,0.06,-0.06,0
103,EPIC 201238110,b,1,28.16560000,0.00270000,-0.00280000,0,,,,0,,,,0,,,,0,,,,0,,0.41,0.11,-0.05,0
104,EPIC 201497682,b,1,2.13174000,0.00022000,-0.00022000,0,,,,0,,,,0,,,,0,,,,0,,0.78,0.09,-0.17,0
105,K2-166,c,2,3.80464000,0.00091000,-0.00105000,0,,,,0,,,,0,,,,0,,,,0,,1.07,0.03,-0.03,0
106,K2-16,d,3,2.71578000,0.00031000,-0.00031000,0,,,,0,,,,0,,,,0,,,,0,,0.67,0.03,-0.04,0
107,K2-50,c,2,3.96151000,0.00046000,-0.00051000,0,,,,0,,,,0,,,,0,,,,0,,0.61,0.06,-0.06,0
108,EPIC 201841433,b,1,4.16959000,0.00051000,-0.00053000,0,,,,0,,,,0,,,,0,,,,0,,0.80,0.08,-0.16,0
109,K2-168,c,2,8.05072200,0.00007500,-0.00003800,0,,,,0,,,,0,89.810,0.980,-0.430,0,,,,0,,0.88,0.06,-0.03,0
110,EPIC 206024342,b,1,4.50756000,0.00062000,-0.00060000,0,,,,0,,,,0,,,,0,,,,0,,0.93,0.08,-0.10,0
