# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu,,,,,,,,,,,,,,,,
# Fri Apr  6 10:16:57 2018,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
# CONSTRAINT:  where (pl_pnum >= 2,,,,,,,,,,,,,,,,
# CONSTRAINT:  ),,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
# COLUMN pl_hostname:    Host Name,,,,,,,,,,,,,,,,
# COLUMN pl_letter:      Planet Letter,,,,,,,,,,,,,,,,
# COLUMN pl_pnum:        Number of Planets in System,,,,,,,,,,,,,,,,
# COLUMN pl_orbper:      Orbital Period [days],,,,,,,,,,,,,,,,
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days],,,,,,,,,,,,,,,,
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days],,,,,,,,,,,,,,,,
# COLUMN pl_orbperlim:   Orbital Period Limit Flag,,,,,,,,,,,,,,,,
# COLUMN pl_bmassj:      Planet Mass or M*sin(i)[Jupiter mass],,,,,,,,,,,,,,,,
# COLUMN pl_bmassjerr1:  Planet Mass or M*sin(i)Upper Unc. [Jupiter mass],,,,,,,,,,,,,,,,
# COLUMN pl_bmassjerr2:  Planet Mass or M*sin(i)Lower Unc. [Jupiter mass],,,,,,,,,,,,,,,,
# COLUMN pl_bmassjlim:   Planet Mass or M*sin(i)Limit Flag,,,,,,,,,,,,,,,,
# COLUMN pl_bmassprov:   Planet Mass or M*sin(i) Provenance,,,,,,,,,,,,,,,,
# COLUMN st_mass:        Stellar Mass [Solar mass],,,,,,,,,,,,,,,,
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass],,,,,,,,,,,,,,,,
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass],,,,,,,,,,,,,,,,
# COLUMN st_masslim:     Stellar Mass Limit Flag,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
loc_rowid,pl_hostname,pl_letter,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,st_mass,st_masserr1,st_masserr2,st_masslim
56,BD-08 2823,c,2,237.6,1.5,-1.5,0,0.33,0.03,-0.03,0,Msini,0.74,0.07,-0.07,0
78,CoRoT-24,b,2,5.1134,0.0006,-0.0006,0,0.018,,,1,Mass,0.91,0.09,-0.09,0
79,CoRoT-24,c,2,11.759,0.0063,-0.0063,0,0.088,0.035,-0.035,0,Mass,0.91,0.09,-0.09,0
89,CoRoT-7,b,2,0.85359159,0.00000057,-0.00000057,0,0.018,0.003,-0.003,0,Mass,0.91,0.02,-0.02,0
90,CoRoT-7,c,2,3.698,0.003,-0.003,0,0.02643,0.00283,-0.00283,0,Mass,0.91,0.02,-0.02,0
98,EPIC 220674823,b,2,0.571336,0.00002,-0.00002,0,0.02832,0.00503,-0.00503,0,Mass,0.92,0.03,-0.03,0
99,EPIC 220674823,c,2,13.3387,0.0018,-0.0018,0,0.01793,0.01919,-0.01919,0,Mass,0.92,0.03,-0.03,0
103,GJ 1148,b,2,41.38,0.002,-0.001,0,0.30425,0.00444,-0.00321,0,Msini,,,,
104,GJ 1148,c,2,532.58,4.14,-2.52,0,0.21414,0.01545,-0.00689,0,Msini,,,,
106,GJ 163,b,3,8.63182,0.00155,-0.00155,0,0.03335,0.00189,-0.00189,0,Msini,0.4,0.02,-0.02,0
107,GJ 163,c,3,25.63058,0.0255,-0.0255,0,0.0214,0.00283,-0.00283,0,Msini,0.4,0.02,-0.02,0
108,GJ 163,d,3,603.95116,7.55862,-7.55862,0,0.0925,0.00912,-0.00912,0,Msini,0.4,0.02,-0.02,0
110,GJ 273,b,2,18.6498,0.0059,-0.0052,0,0.00909,0.00085,-0.00082,0,Msini,0.29,,,0
111,GJ 273,c,2,4.7234,0.0004,-0.0004,0,0.00371,0.0005,-0.0005,0,Msini,0.29,,,0
113,GJ 3138,b,3,1.22003,0.00006,-0.00004,0,0.0056,0.00107,-0.00104,0,Msini,0.68,,,0
114,GJ 3138,c,3,5.974,0.001,-0.001,0,0.01315,0.00192,-0.00186,0,Msini,0.68,,,0
115,GJ 3138,d,3,257.8,3.6,-3.5,0,0.03304,0.00724,-0.00661,0,Msini,0.68,,,0
118,GJ 3293,b,4,30.5987,0.0083,-0.0084,0,0.07406,0.00277,-0.0028,0,Msini,0.42,,,0
119,GJ 3293,c,4,122.6196,0.2429,-0.2371,0,0.06636,0.0039,-0.00396,0,Msini,0.42,,,0
120,GJ 3293,d,4,48.1345,0.0628,-0.0661,0,0.02391,0.0033,-0.0033,0,Msini,0.42,,,0
121,GJ 3293,e,4,13.2543,0.0078,-0.0104,0,0.01032,0.00201,-0.00201,0,Msini,0.42,,,0
122,GJ 3323,b,2,5.3636,0.0007,-0.0007,0,0.00636,0.00082,-0.00079,0,Msini,0.16,,,0
123,GJ 3323,c,2,40.54,0.21,-0.19,0,0.00727,0.00157,-0.00154,0,Msini,0.16,,,0
128,GJ 3998,b,2,2.64977,0.00081,-0.00077,0,0.00777,0.00085,-0.00085,0,Msini,0.5,0.05,-0.05,0
129,GJ 3998,c,2,13.74,0.016,-0.016,0,0.0197,0.00249,-0.00239,0,Msini,0.5,0.05,-0.05,0
134,GJ 581,b,3,5.3686,0.0001,-0.0001,0,0.0497,0.0009,-0.0009,0,Msini,0.31,0.02,-0.02,0
135,GJ 581,c,3,12.914,0.002,-0.002,0,0.0173,0.0009,-0.0009,0,Msini,0.31,0.02,-0.02,0
136,GJ 581,e,3,3.149,0.0002,-0.0002,0,0.0053,0.0006,-0.0006,0,Msini,0.31,0.02,-0.02,0
139,GJ 667 C,b,5,7.2004,0.0017,-0.0017,0,0.018,0.004,-0.004,0,Msini,0.33,0.02,-0.02,0
140,GJ 667 C,c,5,28.14,0.053,-0.065,0,0.012,0.005,-0.004,0,Msini,0.33,0.02,-0.02,0
141,GJ 667 C,e,5,62.24,0.55,-0.55,0,0.008,0.005,-0.004,0,Msini,0.33,0.02,-0.02,0
142,GJ 667 C,f,5,39.026,0.194,-0.211,0,0.008,0.004,-0.004,0,Msini,0.33,0.02,-0.02,0
143,GJ 667 C,g,5,256.2,13.8,-7.9,0,0.014,0.008,-0.007,0,Msini,0.33,0.02,-0.02,0
145,GJ 676 A,b,4,1051.1,0.4,-0.4,0,6.7,1.8,-1.5,0,Mass,0.71,0.04,-0.04,0
146,GJ 676 A,c,4,7337,95,-92,0,6.8,0.1,-0.1,0,Msini,0.71,0.04,-0.04,0
147,GJ 676 A,d,4,3.6005,0.0002,-0.0002,0,0.014,0.001,-0.001,0,Msini,0.71,0.04,-0.04,0
148,GJ 676 A,e,4,35.39,0.03,-0.04,0,0.025,0.002,-0.002,0,Msini,0.71,0.04,-0.04,0
150,GJ 832,b,2,3657,104,-104,0,0.68,0.09,-0.09,0,Msini,0.45,0.05,-0.05,0
151,GJ 832,c,2,35.68,0.03,-0.03,0,0.017,0.003,-0.003,0,Msini,0.45,0.05,-0.05,0
154,GJ 876,b,4,61.1166,0.0086,-0.0086,0,2.2756,0.0045,-0.0045,0,Mass,0.32,0.03,-0.03,0
155,GJ 876,c,4,30.0881,0.0082,-0.0082,0,0.7142,0.0039,-0.0039,0,Mass,0.32,0.03,-0.03,0
156,GJ 876,d,4,1.93778,0.00002,-0.00002,0,0.021,0.001,-0.001,0,Mass,0.32,0.03,-0.03,0
157,GJ 876,e,4,124.26,0.7,-0.7,0,0.046,0.005,-0.005,0,Mass,0.32,0.03,-0.03,0
158,GJ 9827,b,3,1.208957,0.000013,-0.000012,0,,,,0,,0.66,0.06,-0.06,0
159,GJ 9827,c,3,3.64802,0.00011,-0.00011,0,,,,0,,0.66,0.06,-0.06,0
160,GJ 9827,d,3,6.20141,0.00013,-0.0001,0,,,,0,,0.66,0.06,-0.06,0
167,HAT-P-13,b,2,2.91625,0.000015,-0.000015,0,0.851,0.038,-0.038,0,Mass,1.22,0.05,-0.1,0
168,HAT-P-13,c,2,446.27,0.22,-0.22,0,14.28,0.28,-0.28,0,Msini,1.22,0.05,-0.1,0
172,HAT-P-17,b,2,10.338523,0.000009,-0.000009,0,0.534,0.018,-0.018,0,Mass,0.86,0.04,-0.04,0
173,HAT-P-17,c,2,5584,7700,-2100,0,3.4,1.1,-0.7,0,Msini,0.86,0.04,-0.04,0
203,HAT-P-44,b,2,4.301219,0.000019,-0.000019,0,0.352,0.029,-0.029,0,Mass,0.94,0.04,-0.04,0
204,HAT-P-44,c,2,872.2,1.7,-1.7,0,4,1.4,-0.8,0,Msini,0.94,0.04,-0.04,0
263,HD 10180,c,6,5.75969,0.00028,-0.00028,0,0.0416,0.0014,-0.0014,0,Msini,1.06,0.05,-0.05,0
264,HD 10180,d,6,16.357,0.0038,-0.0038,0,0.0378,0.0022,-0.0022,0,Msini,1.06,0.05,-0.05,0
265,HD 10180,e,6,49.748,0.025,-0.025,0,0.0805,0.0032,-0.0032,0,Msini,1.06,0.05,-0.05,0
266,HD 10180,f,6,122.744,0.232,-0.232,0,0.0722,0.0047,-0.0047,0,Msini,1.06,0.05,-0.05,0
267,HD 10180,g,6,604.67,10.42,-10.42,0,0.0732,0.0138,-0.0138,0,Msini,1.06,0.05,-0.05,0
268,HD 10180,h,6,2205,105.9,-105.9,0,0.2066,0.0139,-0.0139,0,Msini,1.06,0.05,-0.05,0
284,HD 106315,b,2,9.55385,0.00095,-0.00072,0,,,,0,,1.03,0.03,-0.03,0
285,HD 106315,c,2,21.058,0.0022,-0.0022,0,,,,0,,1.03,0.03,-0.03,0
294,HD 108874,b,2,395.8,0.6,-0.6,0,1.29,0.06,-0.06,0,Msini,0.95,0.04,-0.04,0
295,HD 108874,c,2,1624,23,-23,0,0.99,0.06,-0.06,0,Msini,0.95,0.04,-0.04,0
297,HD 109271,b,2,7.8543,0.0009,-0.0009,0,0.054,0.004,-0.004,0,Msini,1.05,0.02,-0.02,0
298,HD 109271,c,2,30.93,0.02,-0.02,0,0.076,0.007,-0.007,0,Msini,1.05,0.02,-0.02,0
305,HD 113538,b,2,663.2,8.4,-7.4,0,0.36,0.04,-0.04,0,Msini,0.58,0.05,-0.05,0
306,HD 113538,c,2,1818,25,-22,0,0.93,0.06,-0.06,0,Msini,0.58,0.05,-0.05,0
313,HD 11506,b,2,1627.5,5.9,-5.9,0,4.21,0.07,-0.07,0,Msini,1.24,0.02,-0.02,0
314,HD 11506,c,2,223.6,0.6,-0.6,0,0.36,0.02,-0.02,0,Msini,1.24,0.02,-0.02,0
320,HD 11964,b,2,1945,26,-26,0,0.622,0.056,-0.056,0,Msini,1.12,,,0
321,HD 11964,c,2,37.91,0.041,-0.041,0,0.0788,0.0097,-0.0097,0,Msini,1.12,,,0
327,HD 125612,b,3,559.4,1.3,-1.3,0,3,,,0,Msini,1.09,0.03,-0.03,0
328,HD 125612,c,3,4.1547,0.0005,-0.0005,0,0.058,,,0,Msini,1.09,0.03,-0.03,0
329,HD 125612,d,3,3008,202,-202,0,7.2,,,0,Msini,1.09,0.03,-0.03,0
331,HD 12661,b,2,262.709,0.083,-0.083,0,2.176,0.037,-0.037,0,Msini,1.02,0.02,-0.02,0
332,HD 12661,c,2,1708,14,-14,0,1.812,0.048,-0.048,0,Msini,1.02,0.02,-0.02,0
334,HD 128311,b,2,453.019,0.404,-0.404,0,1.769,0.023,-0.023,0,Msini,0.83,0.01,-0.01,0
335,HD 128311,c,2,921.538,1.15,-1.15,0,3.789,0.924,-0.432,0,Mass,0.83,0.01,-0.01,0
344,HD 133131 A,b,2,649,3,-3,0,1.42,0.04,-0.04,0,Msini,0.95,,,0
345,HD 133131 A,c,2,3568,1084,-1084,0,0.42,0.15,-0.15,0,Msini,0.95,,,0
347,HD 134987,b,2,258.19,0.07,-0.07,0,1.59,0.02,-0.02,0,Msini,1.1,0.07,-0.04,0
348,HD 134987,c,2,5000,400,-400,0,0.82,0.03,-0.03,0,Msini,1.1,0.07,-0.04,0
351,HD 13908,b,2,19.382,0.006,-0.006,0,0.865,0.035,-0.035,0,Msini,1.29,0.04,-0.04,0
352,HD 13908,c,2,931,17,-17,0,5.13,0.25,-0.25,0,Msini,1.29,0.04,-0.04,0
356,HD 141399,b,4,94.44,0.05,-0.05,0,0.451,0.03,-0.03,0,Msini,1.07,0.08,-0.08,0
357,HD 141399,c,4,201.99,0.08,-0.08,0,1.33,0.08,-0.08,0,Msini,1.07,0.08,-0.08,0
358,HD 141399,d,4,1069.8,6.7,-6.7,0,1.18,0.08,-0.08,0,Msini,1.07,0.08,-0.08,0
359,HD 141399,e,4,5000,560,-2000,0,0.66,0.1,-0.1,0,Msini,1.07,0.08,-0.08,0
361,HD 142,b,2,349.7,1.2,-1.2,0,1.25,0.15,-0.15,0,Msini,1.23,0.22,-0.16,0
362,HD 142,c,2,6005,477,-477,0,5.3,0.7,-0.7,0,Msini,1.23,0.22,-0.16,0
371,HD 1461,b,2,5.77152,0.00045,-0.00045,0,0.02026,0.00192,-0.00192,0,Msini,1.02,,,0
372,HD 1461,c,2,13.5052,0.0029,-0.0029,0,0.01759,0.0023,-0.0023,0,Msini,1.02,,,0
373,HD 147018,b,2,44.236,0.008,-0.008,0,2.12,0.07,-0.07,0,Msini,0.93,0.03,-0.03,0
374,HD 147018,c,2,1008,18,-18,0,6.56,0.32,-0.32,0,Msini,0.93,0.03,-0.03,0
377,HD 147873,b,2,116.596,0.023,-0.023,0,5.14,0.34,-0.34,0,Msini,1.38,0.05,-0.05,0
378,HD 147873,c,2,491.54,0.79,-0.79,0,2.3,0.18,-0.18,0,Msini,1.38,0.05,-0.05,0
390,HD 154857,b,2,408.6,0.5,-0.5,0,2.24,0.05,-0.05,0,Msini,1.72,0.03,-0.02,0
391,HD 154857,c,2,3452,105,-105,0,2.58,0.16,-0.16,0,Msini,1.72,0.03,-0.02,0
393,HD 155358,b,2,194.3,0.3,-0.3,0,0.85,0.05,-0.05,0,Msini,0.92,,,0
394,HD 155358,c,2,391.9,1,-1,0,0.82,0.07,-0.07,0,Msini,0.92,,,0
400,HD 159243,b,2,12.62,0.004,-0.004,0,1.13,0.05,-0.05,0,Msini,1.12,0.03,-0.03,0
401,HD 159243,c,2,248.4,4.9,-4.9,0,1.9,0.13,-0.13,0,Msini,1.12,0.03,-0.03,0
402,HD 159868,b,2,1178.4,8.8,-8.8,0,2.1,0.11,-0.11,0,Msini,1.09,0.03,-0.03,0
403,HD 159868,c,2,352.3,1.3,-1.3,0,0.73,0.05,-0.05,0,Msini,1.09,0.03,-0.03,0
404,HD 1605,b,2,577.9,5.6,-4.9,0,0.96,0.06,-0.04,0,Msini,1.31,0.11,-0.11,0
405,HD 1605,c,2,2111,42,-32,0,3.48,0.13,-0.11,0,Msini,1.31,0.11,-0.11,0
406,HD 160691,b,4,643.25,0.9,-0.9,0,1.08,,,0,Msini,1.08,0.05,-0.05,0
407,HD 160691,c,4,4205.8,758.9,-758.9,0,1.814,,,0,Msini,1.08,0.05,-0.05,0
408,HD 160691,d,4,9.6386,0.0015,-0.0015,0,0.03321,,,0,Msini,1.08,0.05,-0.05,0
409,HD 160691,e,4,310.55,0.83,-0.83,0,0.5219,,,0,Msini,1.08,0.05,-0.05,0
413,HD 163607,b,2,75.29,0.02,-0.02,0,0.77,0.04,-0.04,0,Msini,1.09,0.02,-0.02,0
414,HD 163607,c,2,1314,8,-8,0,2.29,0.16,-0.16,0,Msini,1.09,0.02,-0.02,0
419,HD 164922,b,2,1201.1,5.6,-5.5,0,0.33855,0.01542,-0.0151,0,Msini,0.87,0.01,-0.01,0
420,HD 164922,c,2,75.765,0.058,-0.056,0,0.04059,0.00503,-0.00503,0,Msini,0.87,0.01,-0.01,0
425,HD 168443,b,2,58.11247,0.0003,-0.0003,0,7.659,0.0975,-0.0975,0,Msini,0.99,0.02,-0.02,0
426,HD 168443,c,2,1749.83,0.57,-0.57,0,17.193,0.21,-0.21,0,Msini,0.99,0.02,-0.02,0
429,HD 169830,b,2,225.62,0.22,-0.22,0,2.88,,,0,Msini,1.4,,,0
430,HD 169830,c,2,2102,264,-264,0,4.04,,,0,Msini,1.4,,,0
441,HD 176986,b,2,6.4898,0.00086,-0.00086,0,0.01806,0.00208,-0.00208,0,Msini,0.79,0.02,-0.02,0
442,HD 176986,c,2,16.8191,0.0044,-0.0044,0,0.02888,0.00305,-0.00305,0,Msini,0.79,0.02,-0.02,0
444,HD 177830,b,2,406.6,0.4,-0.4,0,1.49,0.03,-0.03,0,Msini,1.47,,,0
445,HD 177830,c,2,110.9,0.1,-0.1,0,0.15,0.02,-0.02,0,Msini,1.47,,,0
452,HD 181433,b,3,9.3743,0.0019,-0.0019,0,0.024,,,0,Msini,0.78,,,
453,HD 181433,c,3,962,15,-15,0,0.64,,,0,Msini,0.78,,,
454,HD 181433,d,3,2172,158,-158,0,0.54,,,0,Msini,0.78,,,
456,HD 183263,b,2,626.5,1.1,-1.1,0,3.67,0.3,-0.3,0,Msini,1.17,0.1,-0.1,0
457,HD 183263,c,2,3070,110,-110,0,3.57,0.55,-0.55,0,Msini,1.17,0.1,-0.1,0
460,HD 187123,b,2,3.0965828,0.0000078,-0.0000078,0,0.523,0.043,-0.043,0,Msini,1,0.1,-0.1,0
461,HD 187123,c,2,3810,420,-420,0,1.99,0.25,-0.25,0,Msini,1,0.1,-0.1,0
465,HD 190360,b,2,2915,29,-29,0,1.56,0.13,-0.13,0,Msini,0.96,,,0
466,HD 190360,c,2,17.111,0.0048,-0.0048,0,0.06,0.0076,-0.0076,0,Msini,0.96,,,0
471,HD 192310,b,2,74.72,0.1,-0.1,0,0.0532,0.0028,-0.0028,0,Msin(i)/sin(i),0.8,,,0
472,HD 192310,c,2,525.8,9.2,-9.2,0,0.076,0.016,-0.016,0,Msin(i)/sin(i),0.8,,,0
480,HD 200964,b,2,613.8,1.3,-1.4,0,1.85,0.14,-0.08,0,Msini,1.44,0.09,-0.09,0
481,HD 200964,c,2,825,5.1,-3.1,0,0.895,0.123,-0.063,0,Msini,1.44,0.09,-0.09,0
482,HD 202206,b,2,255.87,0.06,-0.06,0,17.4,,,0,Msin(i)/sin(i),1.15,,,0
483,HD 202206,c,2,1383.4,18.4,-18.4,0,2.44,,,0,Msin(i)/sin(i),1.15,,,0
486,HD 204313,b,2,2024.1,3.1,-3.1,0,4.28,0.3,-0.3,0,Msini,1.02,,,0
487,HD 204313,c,2,34.905,0.012,-0.012,0,0.0553,0.0053,-0.0053,0,Msini,1.02,,,0
492,HD 207832,b,2,161.97,0.97,-0.78,0,0.56,0.06,-0.03,0,Msini,0.94,0.1,,0
493,HD 207832,c,2,1155.7,71.9,-37,0,0.73,0.18,-0.05,0,Msini,0.94,0.1,,0
494,HD 20794,b,4,18.315,0.008,-0.008,0,0.0085,0.0009,-0.0009,0,Msin(i)/sin(i),0.7,,,0
495,HD 20794,c,4,40.114,0.053,-0.053,0,0.0076,0.0013,-0.0013,0,Msin(i)/sin(i),0.7,,,0
496,HD 20794,d,4,90.309,0.184,-0.184,0,0.015,0.002,-0.002,0,Msin(i)/sin(i),0.7,,,0
497,HD 20794,e,4,147.02,1.43,-0.91,0,0.01501,0.00302,-0.00271,0,Msini,0.7,,,0
509,HD 215152,b,4,5.75999,0.00157,-0.00175,0,0.00572,0.00158,-0.00198,0,Msini,0.77,0.01,-0.01,0
510,HD 215152,c,4,7.28243,0.00451,-0.00827,0,0.00541,0.00194,-0.00228,0,Msini,0.77,0.01,-0.01,0
511,HD 215152,d,4,10.86499,0.00564,-0.00613,0,0.00881,0.00255,-0.0029,0,Msini,0.77,0.01,-0.01,0
512,HD 215152,e,4,25.1967,0.0476,-0.0505,0,0.00905,0.00334,-0.00466,0,Msini,0.77,0.01,-0.01,0
513,HD 215497,b,2,3.93404,0.00066,-0.00066,0,0.02,,,0,Msini,0.87,0.02,-0.02,0
514,HD 215497,c,2,567.94,2.7,-2.7,0,0.33,,,0,Msini,0.87,0.02,-0.02,0
519,HD 217107,b,2,7.126816,0.000039,-0.000039,0,1.39,0.11,-0.11,0,Msini,1.02,,,0
520,HD 217107,c,2,4270,220,-220,0,2.6,0.15,-0.15,0,Msini,1.02,,,0
524,HD 219134,b,6,3.092926,0.00001,-0.00001,0,0.01491,0.0006,-0.0006,0,Mass,0.81,0.03,-0.03,0
525,HD 219134,c,6,6.76458,0.00033,-0.00033,0,0.01372,0.00069,-0.00069,0,Mass,0.81,0.03,-0.03,0
526,HD 219134,d,6,46.859,0.028,-0.028,0,0.05088,0.00201,-0.00201,-1,Mass,0.81,0.03,-0.03,0
527,HD 219134,f,6,22.717,0.015,-0.015,0,0.02297,0.00126,-0.00126,-1,Mass,0.81,0.03,-0.03,0
528,HD 219134,g,6,94.2,0.2,-0.2,0,0.034,0.004,-0.004,0,Msini,0.81,0.03,-0.03,0
529,HD 219134,h,6,2247,43,-43,0,0.34,0.02,-0.02,0,Msini,0.81,0.03,-0.03,0
531,HD 219828,b,2,3.834887,0.000096,-0.000096,0,0.06607,0.0044,-0.0044,0,Msini,1.23,0.1,-0.1,0
532,HD 219828,c,2,4791,75,-75,0,15.1,0.85,-0.85,0,Msini,1.23,0.1,-0.1,0
559,HD 27894,b,3,18.02,0.01,-0.02,0,0.665,0.009,-0.007,0,Msini,0.8,,,0
560,HD 27894,c,3,36.07,0.26,-0.09,0,0.162,0.011,-0.04,0,Msini,0.8,,,0
561,HD 27894,d,3,5174,171,-82,0,5.415,0.239,-1.214,0,Msini,0.8,,,0
570,HD 30177,b,2,2524.4,9.8,-9.8,0,8.08,0.1,-0.1,0,Msini,0.99,0.03,-0.03,0
571,HD 30177,c,2,11613,1837,-1837,0,7.6,3.1,-3.1,0,Msini,0.99,0.03,-0.03,0
576,HD 3167,b,3,0.959641,0.000011,-0.000012,0,0.01579,0.0012,-0.0012,0,Mass,0.86,0.03,-0.03,0
577,HD 3167,c,3,29.8454,0.0012,-0.0012,0,0.03083,0.00409,-0.0039,0,Mass,0.86,0.03,-0.03,0
578,HD 3167,d,3,8.509,0.045,-0.045,0,0.02171,0.00223,-0.00223,0,Msini,0.86,0.03,-0.03,0
585,HD 33844,b,2,551.4,7.8,-7.8,0,1.96,0.12,-0.12,0,Msini,1.78,0.18,-0.18,0
586,HD 33844,c,2,916,29.5,-29.5,0,1.75,0.18,-0.18,0,Msini,1.78,0.18,-0.18,0
587,HD 34445,b,6,1056.7,4.7,-4.7,0,0.629,0.028,-0.028,0,Msini,1.07,0.02,-0.02,0
588,HD 34445,c,6,214.67,0.45,-0.45,0,0.168,0.016,-0.016,0,Msini,1.07,0.02,-0.02,0
589,HD 34445,d,6,117.87,0.18,-0.18,0,0.097,0.13,-0.13,0,Msini,1.07,0.02,-0.02,0
590,HD 34445,e,6,49.175,0.045,-0.045,0,0.0529,0.0089,-0.0089,0,Msini,1.07,0.02,-0.02,0
591,HD 34445,f,6,676.8,7.9,-7.9,0,0.119,0.021,-0.021,0,Msini,1.07,0.02,-0.02,0
592,HD 34445,g,6,5700,1500,-1500,0,0.38,0.13,-0.13,0,Msini,1.07,0.02,-0.02,0
595,HD 37124,b,3,154.378,0.089,-0.089,0,0.675,0.017,-0.017,0,Msini,0.85,,,0
596,HD 37124,c,3,885.5,5.1,-5.1,0,0.652,0.052,-0.052,0,Msini,0.85,,,0
